第一部	الْجُزْءُ الْأَوَّل
鲁格曼（尊称为“有智慧的鲁格曼”，也是《古兰经》中的历史名人之一；参见：鲁格曼章）	لُقْمَانُ (يُلَقَّبُ بِ " لُقْمَانُ الْحَكِيم"، أَحَدُ الشَّخْصِيَّات الْقُرْآنِيَّة؛ نَزَلَت سُورَة بِاسْمِهِ)
每个人只凭他的立意，得到回报	وَإِنَّمَا لِكُلِّ امْرِئٍ مَا نَوَى (جُزءٌ مِنْ حَدِيث)
美名，真主的尊名	الْأَسْمَاءُ الْحُسْنَى
明显的仇敌，明敌	عَدُوٌّ مُبِينٌ
命运	الْمَنِيَّةُ، الْمَصِيرُ، الْقَدَر
摩尼教徒；不信者，无神论者；精底格[阿]	زِنْدِيقٌ ج زَنَادِقَةٌ، مُلْحِدٌ ج مَلَاحِدَةٌ
魔王，恶魔首领；易卜劣斯[阿]	إِبْلِيسٌ ج أَبَالِسَةٌ (كَانَ مِنَ الْمَلَائِكَة ثُمَّ عَصَى فَصَارَ زَعِيمُ الشَّيَاطِين)
末日；阿黑拉提	الْيَوْمُ الْآخِرُ
默示，启示，降示	أَوْحَى يُوحِي وَحْيًا الْوَحْيُ
穆罕默德是真主的使者！	مُحَمَّدٌ رَسُولُ اللهِ
穆民，信士	مُؤْمِنٌ مـ مُؤْمِنَةٌ ج مُؤْمِنُونَ و مُؤْمِنَاتٌ
穆萨的奇迹	آيَاتُ مُوسَى، مُعْجِزَاتُه (التِّسْع)
穆萨的约定	وَعْدُ مُوسَى (وَعْدُ اللهِ لِمُوسَى)
纳基尔（作恶天使）	نَكِيرٌ (مَلَك الشِّمَال)
逆徒，叛逆者，非信士；穆尔塔得[阿]	مُرْتَدٌّ ج مُرْتَدُّونَ، كَافِر
念功，念清真言，作证言	شَهِدَ يَشْهَدُ شَهَادةً الشَّهَادَة؛ نُطْقُ الشَّهَادَةِ، التَّلَفُّظُ بَهَا؛ شَهَادَةٌ (قَال: أَشْهَدُ أَنْ لَا إِلَه إِلَّا الله)؛ تَأْدِيَةُ أَرْكَانِ الْإِسْلَامِ
女巫（wū），女牧师；卡希姗[阿]	كَاهِنَةٌ ج كَاهِنَاتٌ
偶像，雕像	صَنَمٌ ج أَصْنَامٌ، وَثَنٌ ج أَوْثَانٌ، نُصُبٌ ج أَنْصَابٌ، شِرْكٌ
叛教；穆尔塔达[阿]	ارْتَدَّ يَرْتَدُّ ص مُرْتَدٌّ، خَارِجٌ عَنِ الْمِلَّةِ، كَافِرٌ
叛教徒，邪教徒	مُرْتَدٌّ ج مُرْتَدُّونَ، خَارِجٌ عَنِ الدِّينِ (هُوَ مَنْ كَانَ مُسْلِمًا فَكَفَر، وَهُوَ قِسْمَانِ: مِلِّيٌّ وَفِطْرِيٌّ)
撇拜的论断	حُكْمُ تَرْكِ الصَّلَاةِ
撇拜者，不作礼拜者	تَارِكُ الصَّلَاةِ
撇了当然	أَخَلَّ بِوَاجِبٍ (أَي: تَرَكَهُ أَو لَم يَفْعَلْهُ عَلَى الْوَجْهِ الْأَكْمَل)
撇弃拜功	تَرْكُ الصَّلَاةِ أَوِ الْعِباَدَة
贫困者，苦行僧；法基尔[阿]	فَقِيرٌ ج فُقَرَاءٌ و فُقُرٌ، مُعْدمٌ
七层地狱	دَرَكَاتُ النَّارِ السَّبْعَةِ
奇迹（圣人）	مُعْجِزَةٌ ج مُعْجِزَاتٌ (أمرٌ خارقٌ لِلْعَادَةِ يُظْهِرُهُ اللهُ عَلَى يَدِ نَبِيٍّ تَأْيِيدًا لِنُبُوَّتِهِ).
祈求真主给穆圣赐予最高等的天堂	سَأَلَ اللهَ لِلنَّبِيّ الْوَسِيلَةَ
启示；经典，天经；挖哈一[阿]	وَحْيٌ (مَا يُوحِي بِهِ اللَّهُ إِلَى أَنْبِيَائِهِ مِنْ كَلاَمٍ لِعِبَادِهِ)
启示的下降	نُزُولُ الْوَحْيِ
起指；泰闪胡德[阿]	إِشَارَةُ الوَحْدَانِيَّةُ (رَفْعُ أُصْبُعُ السَّبَّابَةِ وَضَمُّ بَقِيَّةُ الأَصَابِعِ)، رَفْعُ السَّبَّابَةِ (فِي التَّشَهُّدِ)
前定，定夺，定然；卡达尔[阿]	الْقَضَاءُ وَالْقَدَرُ
前定；泰格低勒[阿]	قَّدَرٌ ج أَقْدَارٌ (أَي قَدَرُ الله)
虔诚敬意地做礼拜	الْخُشُوعُ، الصَّلَاةُ فِي خُشُوعٍ (الْخُضُوعُ وَالتَّوَاضُعُ مَعَ رَمْيِ الْبَصَرِ إِلَى الْأَرْضِ وَخَفْضُ الصَّوتِ وَسُكُونُ الْأَعْضَاءِ)
强制的（信念）；贾卜尔[阿]	الْجَبْرُ
清高的真主，参见：“胡达·台阿拉”	اللهُ تَعَالَى (راجع نفس المادة في موضع آخر)
清算日，末日审判，报应日	يَوْمُ الْحِسَابِ، يَوْمُ الدِّينِ
清真（明清，指：伊斯兰教）	طَاهِرٌ، حَلَالٌ، الْإِسْلَامُ
清真言，谛言	كَلِمَةُ التَّوْحِيدِ، الْكَلِمَةُ الطَّيِّبَةُ، الشَّهَادَتَيْنِ
求护词	دُعَاءُ الِاسْتِعَاذَةِ
求签，卜筮（shì），占卜	عِرَافةٌ، كَهَانَةٌ، الرَّجْمُ بالْغَيبِ
热给布&尔提都（记录人一生中所作所为的两个天仙）	رَقِيبٌ وَعَتِيدٌ (اسْمٌ لِلْمَلَكَيْنِ الْمُوَكَّلَيْنِ بِكِتَابِةِ أَعْمَالِ الْعِبَادِ لِلْخَيْرِ وَالشَّرِّ)
仁慈；拉赫麦提[阿]	الرَّحْمَةُ
认主独一	الْإِقْرَارُ بِالْوَحْدَانِيَّة
认主学，认主独一学，教义学	عِلْمُ التَّوْحِيدِ، عِلْمُ الْعَقِيدَةِ
三位一体	التَّثْلِيثُ، عَقِيدَةُ التَّثْلِيثِ (عَقِيدَةٌ مَسِيحِيَّةٌ)
善赏罚恶日，清算日	يَوْمُ الْمُجَازَاةِ (عَلَى الْحَسَنَاتِ وَالسَّيِّئَاتِ)
伤哉，该死的；歪仑[阿]（在地狱中可恶的深谷）	ويْلٌ ج وَيْلَاتٌ (وَادٍ في جَهَنَّم)، أَو الدُّعَاء بِالْهَلَاك
神石，雕像	نُصُبٌ ج أَنْصَابٌ، صَنَمٌ ج أَصْنَامٌ
审判日，报应日，清算日	يَوْمُ الْحِسَابِ، يَوْمُ الدِّينِ
升高品级	رَفْعُ الدَّرَجَاتِ
升霄	الْمِعْرَاجُ (صُعُودُ النَّبِيِّ  مِنْ بَيْتِ الْمَقْدِسِ إِلَى السَّمَوَاتِ الْعُلَا لَيْلَةَ الْإِسْرَاءِ)
圣灵	رُوحُ الْقُدُس
使者；来苏里[阿]	رَسُولٌ ج رُسُلٌ
守教门的人，有教门者	مُتَدّيِّنٌ مـ مُتَدَيِّنَةٌ ج مُتَدَيِّنُونَ ومُتَدَيِّنَاتٌ، دَيِّنٌ و دَيِّنَةٌ ج دَيِّنُونَ و دَيِّنَاتٌ، الِالْتِزَام بِأُمُورِ الدِّين، عِنْدَهُ دِين
属性，形	الصِّفَةُ (في عِلْمِ الأَسْمَاءِ والصِّفَاتِ)
双角人；租勒格尔乃尼	ذُو الْقَرْنَيْنِ
说情；萨法尔，沙法尔提[阿]，	شَفَاعَةٌ ج شَفَاعَاتٌ
死后复活	الْبَعْثُ، الْقِيَامَةُ
死亡，归真；冒台，毛梯[阿]	الْمَوْتُ، الْوَفَاةُ
死亡天使；阿兹拉伊来，阿兹拉伊勒[希]（死亡天使名-基督教专门）	عَزْرَائِيلُ (عِنْدَ الْيَهُود يُسَاوِي "مَلَكُ الْمَوْت" عِنْدَ الْمُسْلِمِين)
四大天使	الْمَلَائِكَةُ الْأَرْبَعُ (جِبْرَائِيلُ، وَمِيكَالُ، وَإِسْرَافِيلُ، وَمَلَكُ الْمَوْتِ "عَزْرَائِيلُ")
塔古特；大欧特，塔乌特（阿拉伯原文指几种意思，其中有：偶像，魔鬼，极端分子，亦形容独裁的统治者或不义的当官等）	الطَّاغُوتُ (تَأتِي بِمَعَانٍ كَثِيرَةٍ منها: الْأَصْنَامُ، وَالشَّيْطَانُ، وَالْحَاكِمُ الْجَائِرُ،،، وغيرها)
天秤	مِيزَانٌ ج مَوَازِينٌ
天降筵席	مَائِدَةُ السَّمَاءِ، مَائِدَةُ عِيسَى
天马；卜拉格（圣人在登霄夜所骑的天马）	الْبُرَاقُ (الدَّابَّة الَّتِي رَكِبَهَا النَّبِيُّ  فِي رِحْلَةِ الْإِسْرَاءِ وَالْمِعْرَاج)
天启，真主启示	وَحْيٌ (مَا يُوحِي بِهِ اللَّهُ إِلَى أَنْبِيَائِهِ مِنْ كَلاَمٍ لِعِبَادِهِ)
天桥；色拉特桥[阿中]；思喇特桥[旧]（末日全人类务必将要过的天桥梁）	السِّرَاطُ أو الصِّرَاطُ (جِسْرٌ مَمْدُودٌ عَلَى مَتْنِ جَهَنَّم‏)
天使，天神，天仙	مَلَكٌ ج مَلائِكَةٌ
天堂，天园，乐园；达鲁·赛俩目[阿]	دَارُ السَّلَامِ (إحْدَى أَسْمَاءُ الْجَنَّة أَوْ دَرَجَاتُهَا)
天堂最高的等级	الْوَسِيلَةُ (أَعْلَى دَرَجَاتُ الجَنَّة)
天园；占乃提[阿]	الْجَنَّةُ
图哇，（《古兰经》中的一座山）	طُوَى (اسْمٌ لِلْجَبَلِ الْمَذْكُورِ فِي الْقُرْآنِ)
外在的信仰	إِيمَانُ الظَّاهِرِ، إِيمَانُ الْعَوَامِ، الْإِيمَانُ الْخَارِجِيّ
万物非主，唯有真主；清真言	لَا إِلَهَ إِلَّا اللهُ، كَلِمَةُ التَّوْحِيدِ
万赞归主，感赞安拉；哈木杜利俩黑[阿]	الْحَمْدُ لِلهِ
我从被驱逐的恶魔中求安拉的护佑！	أَعُوذُ بِاللّهِ مِنَ الشَّيْطَنِ الرَّجِيمِ
我见证穆罕默德是真主的使者	أَشْهَدُ أَنَّ مُحَمَّدًا رَسُولُ اللهِ
我见证万物非主，唯有真主	أَشْهَدُ أَن لَا إِلَهَ إِلَّا الله
无法无力，只凭真主	لَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللهِ
五件惯礼（关于清洁，先知曾提倡的五件惯例）	سُنَنُ الْفِطْرَةِ الْخَمْسَةِ
仙池（安拉在末日将特赐穆圣民族的神圣水池，喝一口不再渴）	الْحَوْضُ (‏مَا خَصَّ اللهُ تَعَالَى بِهِ مُحَمَّدًا  لِتَشْرَبَ مِنْهُ أُمَّتَهُ شَرْبَةً لَا تَظْمَأُ بَعْدَهَا أَبَدًا)
仙境，乐园、天堂；菲尔道斯[阿]（天堂美名之一）	الْفِرْدَوْسُ، النَّعِيمُ، الْجَنَّةُ
仙人，天使	مَلَكٌ وَمَلَاكٌ ج مَلَائِكَةٌ، وَلِيٌّ ج أَوْلِيَاءٌ ، قِدِّيسٌ(فِي الْمَسِيحِيَّةِ)
显迹（贤人）	كَرَامَةٌ ج كَرَامَاتٌ (الأَمرُ الْخَارِقُ لِلْعَادَةِ غَيْرُ الْمَقْرُونِ بِالتَّحَدّي وَدَعْوَى النُّبُوَّةِ، يُظْهِرُهُ اللهُ عَلَى أَيْدِي أَوْلِيَائِهِ)
小世界，今世，尘世	الدُّنْيَا (الْحَيَاةُ الصُّغْرَى)
小罪，（可宽恕的小罪）	صَغِيرَةٌ ج صَغَائِرٌ، الذُّنُوبُ الصِّغَارُ
心愿，立意，举意；乜贴[阿]，举乜贴[中阿]	النِّيَّةُ، عَقْدُ النِّيَّةِ، عَقَدَ النِّيَّةَ
新生异端	بِدْعَةٌ مُحْدَثَةٌ
信道的人们，信众	الَّذِينَ ءَامَنُوا
信奉伊斯兰，归信伊斯兰	أَسْلَمَ يُسْلِمُ إِسْلَامًا فهو مُسْلِم وهِيَ مُسْلِمَة؛ اعْتَنَقَ يَعْتَنِقُ اعْتِنَاقًا الْإِسْلَامَ
信后世，信阿黑拉提[中阿]	الْإِيمَانُ بِالْيَوْمِ الْآخِرِ
信士，穆民	مُؤْمِنٌ مـ مُؤْمِنَةٌ ج مُؤْمِنُونَ و مُؤْمِنَاتٌ
信徒们，使徒们（基督十二门徒）	الْحَوَارِيُّونَ (اسْمٌ خَاصٌّ يُطْلَقُ عَلَى أَتِّبَاعِ عِيسَى الِاثْنَي عَشَر)
信仰	الْعَقَائِدُ، الْإِيمَانِيَّاتُ
信仰；伊玛尼[阿]	إِيمَانٌ
信仰断法	أَحْكَامُ الْإِيمَانِ
信仰条件	شَرَائِطُ الْإِيمَانِ
信仰学	عِلْمُ الْعَقِيدَةِ
信仰义务，信仰中的当然	وَاجِبَاتُ الْإِيمَانِ
信一神者；哈尼夫[阿]（指：遵循正道的信徒）	حَنِيفِيٌّ، مُتَّبِعٌ لِلدِيَنِ الْحَنِيفِ
信主独一的人，统一派，	أَهْلُ التَّوْحِيدِ، مِلَّةُ الْإِسْلَامِ
寻求安拉的喜爱	يَطْلُبُ رِضَا الله
殉教者；舍希德[阿]	شَهِيدٌ ج شُهَدَاءٌ
养主，主；拉布[阿]	رَبٌّ ج أَرْبَابٌ، إِلَهٌ ج آلِهَةٌ
夜行；亦指：《古兰经》中的一章	الْإِسْرَاءُ (السَّيْرُ لَيْلًا)، سُورَةُ الْإِسْرَاءِ "أَحَدُ سُور القرآن الْكَرِيم"
一神教徒；穆瓦希杜[阿]	مُوَحِّدٌ ج مُوَحِّدُونَ
伊斯兰的支柱	عِمَادُ الدِّينِ، دَعَائِمُ الْإِسْلَامِ
伊斯兰教的仪式，伊斯兰典礼	شعَائِرُ الْإِسْلَامِ، مَنسَكٌ ج مَنَاسِكٌ الْإِسْلَامُ
伊斯兰教两世观，今后两世	الدَّارَيْنِ (أَي: الدُّنْيَا وَالْآخِرَة)
以物配主者，参见：“穆士里克”	مُشْرِكٌ ج مُشْرِكُونَ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
隐秘论，因恐惧而掩饰（什叶派的基本信条）；塔基亚	التَّقِيَّةُ (إِظْهَارُ غَيْرُ مَا يَعْتَقِدُ وِقَايَةً لِنَفْسِهِ مِنْ أَذَىً قَدْ يُصِيبُهَا، وَهِيَ عَقِيدَةٌ عِنْدَ الشِّيعَةِ)
永存，永生	الْخُلُودُ
由天使作见证	تَشْهَدُهُ الْمَلَائِكَةُ
有天经的教徒（指：犹太教徒和基督教徒）	أَهْلُ الْكِتَابِ (الْيَهُودُ والنَّصَارَى)
诱惑（yòuhuò），祸乱，磨难，考验	فِتْنَةٌ ج فِتَنٌ، إِغْوَاءٌ
赞美，纪念，赞颂；泰喜憋贺[阿]；齐克尔[阿]	سَبَّحَ يُسَبِّحُ تَسْبِيحًا التَّسْبِيحُ، مَجَّدَ يُمَجِّدُ تَمْجِيدًا الله، ذَكَرَ يَذْكُرُ ذِكْرًا الذِّكْرُ
赞美真主；特斯必赫[阿]	تَسْبِيحٌ، قَوْلُ سُبْحَانَ اللهِ، سَبْحَلَ "قال سبحان الله"
赞念，赞颂；迪科尔，齐克尔，寂克勒（旧）	الذِّكْرُ، التَّسْبِيحُ
赞念真主	ذِكْرُ اللهِ
赞颂，纪念，赞美，齐克尔[阿]	ذَكَرَ يَذْكُرُ ذِكْرًا الذِّكْرُ اللهَ
赞主，记主	ذِكْرُ اللهِ
哲伯伊莱；颉伯勒莱天使[阿中]	جِبْرَائيل أَو جِبْرِيل (وَيُسَمَّى: رُوحُ الْقُدُس، والْمَلِكُ الْمُوَكَّل بِنُزُولِ الْوَحْيِ لِلرُّسُلِ أَجْمَعِين)
真主，安拉；阿拉；安拉胡[阿]，胡达[波]；上帝[基]	اللهُ (أَحَدُ أَسْمَاءِ اللهِ الحُسْنَى)
真主啊！（安拉尊名之一）	يَا اللهُ!
真主的存在和完美	وُجُودُ اللهِ وَكَمَالُهُ
真主的代位者	خَلِيفَةُ اللهِ (كِنَايَةٌ عَنِ الْإِنْسَانِ أَو أَحَدُ الْأَنْبِيَاءِ أَوِ الرُّسُل)
真主的密友；伊布拉欣圣人	خَلِيلُ اللهِ، الْخَلِيلُ إِبْرَاهِيم
真主的启示	الْوَحْيُ الْإِلَهِيُّ، وَحْيُ الله، أَوْحَي الله
真主独一	الْوَحْدَانِيَّةُ، وَحْدَانِيَّةُ اللهِ
真主接受祈祷，真主答应	اسْتَجَابَ اللهُ الدُّعَاءَ، قَبِلهُ
真主使者的继任者	خَلِيفَةُ رَسُولِ اللهِ
真主恕饶所他干过的罪恶，安拉饶恕他的错过	غُفِرَ لَهُ مَا تَقَدَّمَ مِنْ ذَنْبِهِ
真主意愿，真主意欲	إِنْ شَاءَ اللهُ!
真主之宝座；阿尔世[阿]	الْكُرْسِيُّ (راجع مادة: الْعَرْشُ)
真主至大！	اللهُ أَكْبَرُ
真主至大，说：“安拉至大”	التَّكْبِيرُ
